timestamp,city,temp,humidity,pressure,wind_speed,pm25,pm10,co,no2,so2,o3,aqi
2026-08-19T16:59:52.417856+00:00,Lahore,30.01,84,1002,2.06,40.98,103.24,373.42,13.13,3.45,45.25,34
2026-08-20T02:20:47.448626+00:00,Lahore,28.01,83,1004,1.54,46.19,109.7,405.26,11.89,2.06,22.35,34
