target,n_train,n_test,ridge_rmse,ridge_mae,ridge_r2,rf_rmse,rf_mae,rf_r2,baseline_rmse,baseline_mae,winner,beats_baseline
aqi_avg_next_1d,9120,1560,13.754712634958542,10.320591416201498,0.8035012126077867,13.520186086585092,9.754967556102477,0.8101449428482768,18.05119860317857,13.450320512820513,random_forest,True
aqi_avg_next_2d,9120,1440,17.161858022959457,12.547101941874391,0.6960712521761112,15.663638142706759,11.463615011666262,0.7468205486382802,20.63357524922878,15.307581018518519,random_forest,True
aqi_avg_next_3d,9120,1320,16.06802397782767,12.18782599172577,0.735556702910674,16.473230146240006,12.558291726005628,0.7220509762646738,21.517257927790443,16.583617424242423,ridge,True
