target,n_train,n_test,ridge_rmse,ridge_mae,ridge_r2,rf_rmse,rf_mae,rf_r2,xgb_rmse,xgb_mae,xgb_r2,mlp_rmse,mlp_mae,mlp_r2,baseline_rmse,baseline_mae,winner,beats_baseline,top_shap_feature
aqi_avg_next_1d,9840,1560,13.102776626417587,10.483313913959899,0.8320689755752662,12.924831926186425,10.547523104774765,0.8365992403660599,12.233234288970946,9.809123653835721,0.8536182788130772,14.77763999399479,11.806456057531374,0.7863935181156878,14.594640800945335,11.505154914529916,xgboost,True,numeric__pm25_roll_mean_24h
aqi_avg_next_2d,9840,1440,15.981390202424409,13.520086113396086,0.7468881578614431,14.836049283234448,12.652183246666704,0.7818677452696732,14.076176821159867,12.01394567489624,0.8036401095132805,17.237077850686916,13.816469124387666,0.7055506228081758,16.381564136758854,13.510503472222222,xgboost,True,numeric__pm25_roll_mean_24h
aqi_avg_next_3d,9840,1320,16.82495468381089,14.404942524187996,0.7160925212812406,15.624827766726249,13.278909501691082,0.7551503406462303,14.752259929442308,12.488764288931185,0.7817339754686844,18.767618647944765,14.82421815425604,0.646745773358395,18.160683953423803,14.695107323232325,xgboost,True,city__city_Karachi
